regulatory	KO
Dapma7bEVm010843t1	K15044
Dapma7bEVm017176t1	K15149
Dapma7bEVm008649t1	K23309
Dapma7bEVm007345t1	K17290
Dapma7bEVm024456t1	K17095
Dapma7bEVm027301t1	
Dapma7bEVm029542t1	
Dapma7bEVm015626t1	
Dapma7bEVm000329t1	K11247
Dapma7bEVm011348t1	
Dapma7bEVm022023t1	
Dapma7bEVm018831t1	
Dapma7bEVm009648t1	K00029
Dapma7bEVm008719t1	
Dapma7bEVm007821t1	
Dapma7bEVm008798t1	K26390
Dapma7bEVm007529t1	
Dapma7bEVm000239t1	
Dapma7bEVm005236t1	K12351
Dapma7bEVm005559t1	
Dapma7bEVm017744t1	K02991
Dapma7bEVm028078t1	
Dapma7bEVm009536t1	
Dapma7bEVm011069t1	
Dapma7bEVm003652t1	
Dapma7bEVm007981t1	K04683
Dapma7bEVm028074t1	
Dapma7bEVm003885t1	K01312
Dapma7bEVm008092t1	
Dapma7bEVm011731t1	
Dapma7bEVm028087t1	
Dapma7bEVm001582t1	
Dapma7bEVm029638t1	K00803
Dapma7bEVm018683t1	K16734
Dapma7bEVm027840t1	K01796
Dapma7bEVm004850t1	K22073
Dapma7bEVm006499t1	
Dapma7bEVm028928t1	K02677
Dapma7bEVm000487t1	K16944
Dapma7bEVm003590t1	K14567
Dapma7bEVm011570t1	K07877
Dapma7bEVm006402t1	
Dapma7bEVm027671t1	K24971
Dapma7bEVm011226t1	K07424
Dapma7bEVm019567t1	K13207
Dapma7bEVm004223t1	
Dapma7bEVm011891t1	K09219
Dapma7bEVm004474t1	
Dapma7bEVm001097t1	K23330
Dapma7bEVm005253t1	K22988
Dapma7bEVm005114t1	K13109
Dapma7bEVm004178t1	
Dapma7bEVm007280t1	
Dapma7bEVm004070t1	
Dapma7bEVm004084t1	K11322
Dapma7bEVm028669t1	K11095
Dapma7bEVm003822t1	K06275
Dapma7bEVm006798t1	K00993
Dapma7bEVm027084t1	
Dapma7bEVm010950t1	K04368
Dapma7bEVm002618t1	K12869
Dapma7bEVm015625t1	
Dapma7bEVm010526t1	K24684
Dapma7bEVm003007t1	
Dapma7bEVm005837t1	K11293
Dapma7bEVm028997t1	
Dapma7bEVm013863t1	K12624
Dapma7bEVm010113t1	
Dapma7bEVm003401t1	K15137
Dapma7bEVm004287t1	K24974
Dapma7bEVm008202t1	K11433
Dapma7bEVm012925t1	K23886
Dapma7bEVm027943t1	
Dapma7bEVm004330t1	K19787
Dapma7bEVm011505t1	K16943
Dapma7bEVm015545t1	K10151
Dapma7bEVm005264t1	
Dapma7bEVm006292t1	
Dapma7bEVm009993t1	K25877
Dapma7bEVm004756t1	K08960
Dapma7bEVm028461t1	
Dapma7bEVm004841t1	K15759
Dapma7bEVm003732t1	
Dapma7bEVm030384t1	K00207
Dapma7bEVm006590t1	K12193
Dapma7bEVm002912t1	K23568
Dapma7bEVm028858t1	
Dapma7bEVm003315t1	K13344
Dapma7bEVm015577t1	
Dapma7bEVm007190t1	
Dapma7bEVm007673t1	K11587
Dapma7bEVm006521t1	
Dapma7bEVm027857t1	K10807
Dapma7bEVm019693t1	K19932
Dapma7bEVm001866t1	K13783
Dapma7bEVm025097t1	
Dapma7bEVm011504t1	
Dapma7bEVm011128t1	K11848
Dapma7bEVm000047t1	
Dapma7bEVm028970t1	
Dapma7bEVm017135t1	
Dapma7bEVm028061t1	
Dapma7bEVm012106t1	
Dapma7bEVm027533t1	
Dapma7bEVm000909t1	K25655
Dapma7bEVm027565t1	
Dapma7bEVm002451t1	K15620
Dapma7bEVm028740t1	
Dapma7bEVm009531t1	
Dapma7bEVm000502t1	K14708
Dapma7bEVm004356t1	K15698
Dapma7bEVm006612t1	K13566
Dapma7bEVm028163t1	K01866
Dapma7bEVm028924t1	
Dapma7bEVm019255t1	K06874
Dapma7bEVm010023t1	
Dapma7bEVm005839t1	K10848
Dapma7bEVm022766t1	
Dapma7bEVm010321t1	K07937
Dapma7bEVm010728t1	
Dapma7bEVm003172t1	K25824
Dapma7bEVm027493t1	K09479
Dapma7bEVm005896t1	K07583
Dapma7bEVm005211t1	K07298
Dapma7bEVm006059t1	
Dapma7bEVm006982t1	
Dapma7bEVm002144t1	
Dapma7bEVm006691t1	
Dapma7bEVm020479t1	
Dapma7bEVm006622t1	K13370
Dapma7bEVm012294t1	K07903
Dapma7bEVm008029t1	K07920
Dapma7bEVm008041t1	
Dapma7bEVm010783t1	K13353
Dapma7bEVm001457t1	K08703
Dapma7bEVm011102t1	
Dapma7bEVm003174t1	K10260
Dapma7bEVm000560t1	K00228
Dapma7bEVm007767t1	
Dapma7bEVm004349t1	K14795
Dapma7bEVm001529t1	K24426
Dapma7bEVm025855t1	
Dapma7bEVm012363t1	
Dapma7bEVm023108t1	
Dapma7bEVm003443t1	K23909
Dapma7bEVm010494t1	K08588
Dapma7bEVm005907t1	K16938
Dapma7bEVm011561t1	K17352
Dapma7bEVm007411t1	K12311
Dapma7bEVm005214t1	K11664
Dapma7bEVm000217t1	
Dapma7bEVm006632t1	
Dapma7bEVm008782t1	K24154
Dapma7bEVm027601t1	
Dapma7bEVm002934t1	
Dapma7bEVm005130t1	K00995
Dapma7bEVm002233t1	
Dapma7bEVm008834t1	K03000
Dapma7bEVm006430t1	
Dapma7bEVm003911t1	
Dapma7bEVm001490t1	K23096
Dapma7bEVm007865t1	K07566
Dapma7bEVm003169t1	
Dapma7bEVm012932t1	K03359
Dapma7bEVm005274t1	K10847
Dapma7bEVm005493t1	K20281
Dapma7bEVm027535t1	K15437
Dapma7bEVm010577t1	
Dapma7bEVm007087t1	
Dapma7bEVm027187t1	
Dapma7bEVm019989t1	
Dapma7bEVm006777t1	
Dapma7bEVm028261t1	
Dapma7bEVm015627t1	
Dapma7bEVm010090t1	
Dapma7bEVm027243t1	
Dapma7bEVm027404t1	
Dapma7bEVm005396t1	K15717
Dapma7bEVm007764t1	
Dapma7bEVm005271t1	K03754
Dapma7bEVm010364t1	
Dapma7bEVm008288t1	K23388
Dapma7bEVm002795t1	
Dapma7bEVm008054t1	K12192
Dapma7bEVm001654t1	
Dapma7bEVm004658t1	
Dapma7bEVm007837t1	K18269
Dapma7bEVm009815t1	
Dapma7bEVm004339t1	K13220
Dapma7bEVm018958t1	
Dapma7bEVm002722t1	K09828
Dapma7bEVm018589t1	
Dapma7bEVm004151t1	
Dapma7bEVm018597t1	
Dapma7bEVm005185t1	K12176
Dapma7bEVm003767t1	
Dapma7bEVm006432t1	K01185
Dapma7bEVm008270t1	K24956
Dapma7bEVm007682t1	
Dapma7bEVm010425t1	K01312
Dapma7bEVm007923t1	
Dapma7bEVm027806t1	
Dapma7bEVm008275t1	
Dapma7bEVm010068t1	K24796
Dapma7bEVm004238t1	
Dapma7bEVm002345t1	
Dapma7bEVm028092t1	
Dapma7bEVm027638t1	
Dapma7bEVm002775t1	
Dapma7bEVm008325t1	
Dapma7bEVm028101t1	K14561
Dapma7bEVm000943t1	
Dapma7bEVm028843t1	K01047
Dapma7bEVm004689t1	K16860
Dapma7bEVm027729t1	
Dapma7bEVm008825t1	K01518
Dapma7bEVm017164t1	
Dapma7bEVm010097t1	K02264
Dapma7bEVm014140t1	
Dapma7bEVm002692t1	K11801
Dapma7bEVm028798t1	
Dapma7bEVm003784t1	
Dapma7bEVm002586t1	K11997
Dapma7bEVm002016t1	K20365
Dapma7bEVm011760t1	K22204
Dapma7bEVm001000t1	
Dapma7bEVm028377t1	K00019
Dapma7bEVm013926t1	
Dapma7bEVm003222t1	K03680
Dapma7bEVm003893t1	K12198
Dapma7bEVm008221t1	
Dapma7bEVm002017t1	K02886
Dapma7bEVm018601t1	
Dapma7bEVm000953t1	
Dapma7bEVm003046t1	K23562
Dapma7bEVm003593t1	K20474
Dapma7bEVm010488t1	
Dapma7bEVm005108t1	K06631
Dapma7bEVm007701t1	K10579
Dapma7bEVm005553t1	K10598
Dapma7bEVm027696t1	K18411
Dapma7bEVm000869t1	
Dapma7bEVm006819t1	K11153
Dapma7bEVm030387t1	K22804
Dapma7bEVm003396t1	K12587
Dapma7bEVm028416t1	
Dapma7bEVm015757t1	
Dapma7bEVm009692t1	
Dapma7bEVm005563t1	
Dapma7bEVm007061t1	K01672
Dapma7bEVm007062t1	
Dapma7bEVm022441t1	
Dapma7bEVm000202t1	
Dapma7bEVm007937t1	K26496
Dapma7bEVm000258t1	
Dapma7bEVm027352t1	
Dapma7bEVm007097t1	
Dapma7bEVm007341t1	K14525
Dapma7bEVm015556t1	
Dapma7bEVm027720t1	
Dapma7bEVm027877t1	K06641
Dapma7bEVm029625t1	
Dapma7bEVm003386t1	
Dapma7bEVm006883t1	K15128
Dapma7bEVm027418t1	K15162
Dapma7bEVm010285t1	K25668
Dapma7bEVm028162t1	K01866
Dapma7bEVm004093t1	
Dapma7bEVm020478t1	
Dapma7bEVm028151t1	K10349
Dapma7bEVm002199t1	
Dapma7bEVm000433t1	
Dapma7bEVm011653t1	K15109
Dapma7bEVm021383t1	
Dapma7bEVm004568t1	
Dapma7bEVm013509t1	
Dapma7bEVm009771t1	K17085
Dapma7bEVm007042t1	K19953
Dapma7bEVm028694t1	
Dapma7bEVm000482t1	
Dapma7bEVm001196t1	
Dapma7bEVm027973t1	K17408
Dapma7bEVm000547t1	
Dapma7bEVm012314t1	
Dapma7bEVm027375t1	K14312
Dapma7bEVm001178t1	
Dapma7bEVm009624t1	
Dapma7bEVm007945t1	
Dapma7bEVm027796t1	K07376
Dapma7bEVm008456t1	K19765
Dapma7bEVm007575t1	K03939
Dapma7bEVm006227t1	
Dapma7bEVm005657t1	
Dapma7bEVm004295t1	
Dapma7bEVm006362t1	
Dapma7bEVm008478t1	
Dapma7bEVm005198t1	K04440
Dapma7bEVm026652t1	
Dapma7bEVm010015t1	
Dapma7bEVm030614t1	
Dapma7bEVm001531t1	K24134
Dapma7bEVm006790t1	K03454
Dapma7bEVm002880t1	K14847
Dapma7bEVm010485t1	
Dapma7bEVm000827t1	K14766
Dapma7bEVm030388t1	
Dapma7bEVm001724t1	
Dapma7bEVm026924t1	
Dapma7bEVm017788t1	
Dapma7bEVm017798t1	
Dapma7bEVm028267t1	K00731
Dapma7bEVm001313t1	
Dapma7bEVm011751t1	K11827
Dapma7bEVm008587t1	
Dapma7bEVm001514t1	K01885
Dapma7bEVm011605t1	K02951
Dapma7bEVm000139t1	K00876
Dapma7bEVm028070t1	
Dapma7bEVm006552t1	
Dapma7bEVm027333t1	
Dapma7bEVm005348t1	
Dapma7bEVm011101t1	K10752
Dapma7bEVm007933t1	K00416
Dapma7bEVm018648t1	K15687
Dapma7bEVm004114t1	
Dapma7bEVm027399t1	K10951
Dapma7bEVm028309t1	
Dapma7bEVm001415t1	K03163
Dapma7bEVm005849t1	
Dapma7bEVm006118t1	K03098
Dapma7bEVm009732t1	K14343
Dapma7bEVm027503t1	
Dapma7bEVm016076t1	
Dapma7bEVm000364t1	K10645
Dapma7bEVm001893t1	
Dapma7bEVm002140t1	
Dapma7bEVm016770t1	K14753
Dapma7bEVm007775t1	K18170
Dapma7bEVm010184t1	K15306
Dapma7bEVm005909t1	K18470
Dapma7bEVm002102t1	
Dapma7bEVm001429t1	K01410
Dapma7bEVm001098t1	
Dapma7bEVm003359t1	K26006
Dapma7bEVm005210t1	
Dapma7bEVm011151t1	
Dapma7bEVm000574t1	K14841
Dapma7bEVm000421t1	
Dapma7bEVm002583t1	K14288
Dapma7bEVm003473t1	
Dapma7bEVm009991t1	K26544
Dapma7bEVm013220t1	
Dapma7bEVm016090t1	
Dapma7bEVm027832t1	
Dapma7bEVm027776t1	K10612
Dapma7bEVm000834t1	
Dapma7bEVm003387t1	K14016
Dapma7bEVm010020t1	K01104
Dapma7bEVm015260t1	
Dapma7bEVm011929t1	K03648
Dapma7bEVm001548t1	K11303
Dapma7bEVm013580t1	K02995
Dapma7bEVm010121t1	
Dapma7bEVm006236t1	
Dapma7bEVm002750t1	
Dapma7bEVm001883t1	K04508
Dapma7bEVm010540t1	K18211
Dapma7bEVm029200t1	K01672
Dapma7bEVm003422t1	K01358
Dapma7bEVm003806t1	K02148
Dapma7bEVm024455t1	
Dapma7bEVm011065t1	K12505
Dapma7bEVm015327t1	
Dapma7bEVm007533t1	K22763
Dapma7bEVm003189t1	
Dapma7bEVm005784t1	
Dapma7bEVm011819t1	K00019
Dapma7bEVm005014t1	K25204
Dapma7bEVm003860t1	K14864
Dapma7bEVm023882t1	K03010
Dapma7bEVm003020t1	
Dapma7bEVm006907t1	
Dapma7bEVm016586t1	
Dapma7bEVm005321t1	K23505
Dapma7bEVm011231t1	
Dapma7bEVm001252t1	
Dapma7bEVm005286t1	
Dapma7bEVm009836t1	K18726
Dapma7bEVm027246t1	
Dapma7bEVm002416t1	K13355
Dapma7bEVm011814t1	K02222
Dapma7bEVm002529t1	
Dapma7bEVm002492t1	K14566
Dapma7bEVm030389t1	K07542
Dapma7bEVm001124t1	K01712
Dapma7bEVm017773t1	
Dapma7bEVm004704t1	
Dapma7bEVm000745t1	
Dapma7bEVm016764t1	K03234
Dapma7bEVm009585t1	
Dapma7bEVm005464t1	
Dapma7bEVm017106t1	K00134
Dapma7bEVm010603t1	K13886
Dapma7bEVm007417t1	K25805
Dapma7bEVm009642t1	K04497
Dapma7bEVm018577t1	
Dapma7bEVm010963t1	K00683
Dapma7bEVm009963t1	K14835
Dapma7bEVm006614t1	K05961
Dapma7bEVm027436t1	
Dapma7bEVm016787t1	
Dapma7bEVm000977t1	K17767
Dapma7bEVm004012t1	
Dapma7bEVm012296t1	K00011
Dapma7bEVm010856t1	
Dapma7bEVm007831t1	
Dapma7bEVm015074t1	K00106
Dapma7bEVm001946t1	K00858
Dapma7bEVm027395t1	K22943
Dapma7bEVm005175t1	
Dapma7bEVm002690t1	
Dapma7bEVm005486t1	K23424
Dapma7bEVm000661t1	K24799
Dapma7bEVm000739t1	K03062
Dapma7bEVm011230t1	K04599
Dapma7bEVm010147t1	K01183
Dapma7bEVm007000t1	
Dapma7bEVm007662t1	K03139
Dapma7bEVm027521t1	K05673
Dapma7bEVm001459t1	K08098
Dapma7bEVm000957t1	K00121
Dapma7bEVm006331t1	
Dapma7bEVm004782t1	K18162
Dapma7bEVm027746t1	
Dapma7bEVm009567t1	K08764
Dapma7bEVm010664t1	
Dapma7bEVm018605t1	K06070
Dapma7bEVm001878t1	K12735
Dapma7bEVm001985t1	K26935
Dapma7bEVm001617t1	K05610
Dapma7bEVm010170t1	
Dapma7bEVm004529t1	K14951
Dapma7bEVm010237t1	K23345
Dapma7bEVm030390t1	K14824
Dapma7bEVm001897t1	
Dapma7bEVm028870t1	K27355
Dapma7bEVm029639t1	K00803
Dapma7bEVm005721t1	K13239
Dapma7bEVm012086t1	
Dapma7bEVm007475t1	K14662
Dapma7bEVm010376t1	K22037
Dapma7bEVm010188t1	
Dapma7bEVm002009t1	
Dapma7bEVm028780t1	K19367
Dapma7bEVm008035t1	K15433
Dapma7bEVm009518t1	K05619
Dapma7bEVm000839t1	K08861
Dapma7bEVm010366t1	K08835
Dapma7bEVm001499t1	K14085
Dapma7bEVm008135t1	
Dapma7bEVm008404t1	K05755
Dapma7bEVm011939t1	
Dapma7bEVm015166t1	
Dapma7bEVm011267t1	K00799
Dapma7bEVm003283t1	
Dapma7bEVm006524t1	K23285
Dapma7bEVm027922t1	
Dapma7bEVm015513t1	K13506
Dapma7bEVm003716t1	K18204
Dapma7bEVm002292t1	K25656
Dapma7bEVm010413t1	
Dapma7bEVm011396t1	K02183
Dapma7bEVm002274t1	
Dapma7bEVm001007t1	K08501
Dapma7bEVm027281t1	
Dapma7bEVm002572t1	K03002
Dapma7bEVm028593t1	K00901
Dapma7bEVm002998t1	
Dapma7bEVm002996t1	K12818
Dapma7bEVm006970t1	
Dapma7bEVm002975t1	K11718
Dapma7bEVm001723t1	
Dapma7bEVm001230t1	K19828
Dapma7bEVm002062t1	
Dapma7bEVm003591t1	
Dapma7bEVm002210t1	
Dapma7bEVm002110t1	
Dapma7bEVm027547t1	
Dapma7bEVm005156t1	K18655
Dapma7bEVm027444t1	
Dapma7bEVm000917t1	K00731
Dapma7bEVm004020t1	
Dapma7bEVm006358t1	
Dapma7bEVm007615t1	
Dapma7bEVm018599t1	
Dapma7bEVm001202t1	
Dapma7bEVm004919t1	
Dapma7bEVm018429t1	
Dapma7bEVm011302t1	
Dapma7bEVm027244t1	
Dapma7bEVm002323t1	K01881
Dapma7bEVm017101t1	
Dapma7bEVm001556t1	K09503
Dapma7bEVm001915t1	
Dapma7bEVm003729t1	K14994
Dapma7bEVm001596t1	K04539
Dapma7bEVm000825t1	K11660
Dapma7bEVm014139t1	
Dapma7bEVm008625t1	
Dapma7bEVm003427t1	
Dapma7bEVm004626t1	K23504
Dapma7bEVm011654t1	K17605
Dapma7bEVm005375t1	
Dapma7bEVm010813t1	K00747
Dapma7bEVm004523t1	K19531
Dapma7bEVm005364t1	K24996
Dapma7bEVm003761t1	K13698
Dapma7bEVm004980t1	K09539
Dapma7bEVm027790t1	K00827
Dapma7bEVm002759t1	
Dapma7bEVm022388t1	
Dapma7bEVm019500t1	
Dapma7bEVm022452t1	
Dapma7bEVm018675t1	
Dapma7bEVm016396t1	K03665
Dapma7bEVm019180t1	K01904
Dapma7bEVm020603t1	
Dapma7bEVm018442t1	
Dapma7bEVm001979t1	K15102
Dapma7bEVm008403t1	
Dapma7bEVm019219t1	K13356
Dapma7bEVm026283t1	
Dapma7bEVm029260t1	
Dapma7bEVm004444t1	
Dapma7bEVm002277t1	K01201
Dapma7bEVm020488t1	K02934
Dapma7bEVm001792t1	K04510
Dapma7bEVm028722t1	
Dapma7bEVm012767t1	
Dapma7bEVm005133t1	
Dapma7bEVm024488t1	
Dapma7bEVm017393t1	K10355
Dapma7bEVm020177t1	K14464
Dapma7bEVm016945t1	
Dapma7bEVm020884t1	K02975
Dapma7bEVm023382t1	K09214
Dapma7bEVm028922t1	
Dapma7bEVm001295t1	K26752
Dapma7bEVm002231t1	
Dapma7bEVm012144t1	
Dapma7bEVm024540t1	
Dapma7bEVm024614t1	
Dapma7bEVm026466t1	
Dapma7bEVm028957t1	
Dapma7bEVm012305t1	
Dapma7bEVm018243t1	K02915
Dapma7bEVm021761t1	K02940
Dapma7bEVm019947t1	K02991
Dapma7bEVm024547t1	K04149
Dapma7bEVm024903t1	
Dapma7bEVm015325t1	
Dapma7bEVm002011t1	K12831
Dapma7bEVm020263t1	
Dapma7bEVm024606t1	
Dapma7bEVm019401t1	K01312
Dapma7bEVm020527t1	
Dapma7bEVm020335t1	K07937
Dapma7bEVm018203t1	
Dapma7bEVm021335t1	K02900
Dapma7bEVm020100t1	
Dapma7bEVm018216t1	K02883
Dapma7bEVm020445t1	K02872
Dapma7bEVm017392t1	
Dapma7bEVm018349t1	K05765
Dapma7bEVm006956t1	
Dapma7bEVm026660t1	
Dapma7bEVm016966t1	
Dapma7bEVm020710t1	K02925
Dapma7bEVm019252t1	
Dapma7bEVm017379t1	
Dapma7bEVm022041t1	
Dapma7bEVm019436t1	
Dapma7bEVm018241t1	
Dapma7bEVm020473t1	K02997
Dapma7bEVm020474t1	
Dapma7bEVm014860t1	K02183
Dapma7bEVm029539t1	
Dapma7bEVm024877t1	
Dapma7bEVm025287t1	K09542
Dapma7bEVm020244t1	K05863
Dapma7bEVm019427t1	
Dapma7bEVm027362t1	
Dapma7bEVm025094t1	
Dapma7bEVm017357t1	
Dapma7bEVm024480t1	
Dapma7bEVm017335t1	
Dapma7bEVm021911t1	K01052
Dapma7bEVm000311t1	K15180
Dapma7bEVm018611t1	
Dapma7bEVm020380t1	K02882
Dapma7bEVm019303t1	
Dapma7bEVm024598t1	
Dapma7bEVm016684t1	
Dapma7bEVm019725t1	
Dapma7bEVm015632t1	K04950
Dapma7bEVm016680t1	
Dapma7bEVm019037t1	
Dapma7bEVm011672t1	K23733
Dapma7bEVm024693t1	K04382
Dapma7bEVm010517t1	
Dapma7bEVm013829t1	
Dapma7bEVm012495t1	K04975
Dapma7bEVm019354t1	K14464
Dapma7bEVm011847t1	
Dapma7bEVm024493t1	
Dapma7bEVm015950t1	
Dapma7bEVm022477t1	K02924
Dapma7bEVm022454t1	K02129
Dapma7bEVm022309t1	K02957
Dapma7bEVm027237t1	
Dapma7bEVm021424t1	K02921
Dapma7bEVm022015t1	K02993
Dapma7bEVm022306t1	
Dapma7bEVm021891t1	K02738
Dapma7bEVm022249t1	
Dapma7bEVm021377t1	K02975
Dapma7bEVm022440t1	K02991
Dapma7bEVm022337t1	K02991
Dapma7bEVm022338t1	K02934
Dapma7bEVm021597t1	K05755
Dapma7bEVm022195t1	
Dapma7bEVm021889t1	K02875
Dapma7bEVm021200t1	K02140
Dapma7bEVm021644t1	K02922
Dapma7bEVm021731t1	
Dapma7bEVm021314t1	K02883
Dapma7bEVm021842t1	K02875
Dapma7bEVm021596t1	K13251
Dapma7bEVm021360t1	K02920
Dapma7bEVm029359t1	
Dapma7bEVm021283t1	K02958
Dapma7bEVm017075t1	
Dapma7bEVm024544t1	
Dapma7bEVm021759t1	
Dapma7bEVm020999t1	
Dapma7bEVm020873t1	K02894
Dapma7bEVm012192t1	
Dapma7bEVm029305t1	
Dapma7bEVm021887t1	
Dapma7bEVm021300t1	
Dapma7bEVm021841t1	
Dapma7bEVm021760t1	K02891
Dapma7bEVm021816t1	
Dapma7bEVm020817t1	K02901
Dapma7bEVm021066t1	K02940
Dapma7bEVm021936t1	K02893
Dapma7bEVm020504t1	K02973
Dapma7bEVm018334t1	K02960
Dapma7bEVm018335t1	K02875
Dapma7bEVm029322t1	
Dapma7bEVm021960t1	
Dapma7bEVm021299t1	K02896
Dapma7bEVm021111t1	K02993
Dapma7bEVm021282t1	K01802
Dapma7bEVm021216t1	K06856
Dapma7bEVm021095t1	K02882
Dapma7bEVm018338t1	K02966
Dapma7bEVm025003t1	
Dapma7bEVm020848t1	K02964
Dapma7bEVm020976t1	K02977
Dapma7bEVm021757t1	K05863
Dapma7bEVm021397t1	K02987
Dapma7bEVm021217t1	K02989
Dapma7bEVm021917t1	
Dapma7bEVm020575t1	K02889
Dapma7bEVm020617t1	K05765
Dapma7bEVm020576t1	K05765
Dapma7bEVm018318t1	K02068
Dapma7bEVm024521t1	
Dapma7bEVm020954t1	K03232
Dapma7bEVm025780t1	
Dapma7bEVm021250t1	
Dapma7bEVm022394t1	
Dapma7bEVm021075t1	
Dapma7bEVm020918t1	K03626
Dapma7bEVm021565t1	
Dapma7bEVm020975t1	K06630
Dapma7bEVm018293t1	K00830
Dapma7bEVm020671t1	K02912
Dapma7bEVm020584t1	K02966
Dapma7bEVm018305t1	K02938
Dapma7bEVm021187t1	K02936
Dapma7bEVm020834t1	K02885
Dapma7bEVm020397t1	K02995
Dapma7bEVm021659t1	
Dapma7bEVm021235t1	K02934
Dapma7bEVm020872t1	K05863
Dapma7bEVm025400t1	
Dapma7bEVm014351t1	
Dapma7bEVm028855t1	
Dapma7bEVm020402t1	K02953
Dapma7bEVm014378t1	
Dapma7bEVm018313t1	
Dapma7bEVm020390t1	K02947
Dapma7bEVm020635t1	
Dapma7bEVm020662t1	K02885
Dapma7bEVm021839t1	
Dapma7bEVm013838t1	
Dapma7bEVm020801t1	K02987
Dapma7bEVm020606t1	K02957
Dapma7bEVm022100t1	
Dapma7bEVm017026t1	
Dapma7bEVm020663t1	
Dapma7bEVm020598t1	
Dapma7bEVm025387t1	
Dapma7bEVm018262t1	K02880
Dapma7bEVm020701t1	
Dapma7bEVm019721t1	
Dapma7bEVm020246t1	K02882
Dapma7bEVm020955t1	
Dapma7bEVm020763t1	K01365
Dapma7bEVm020828t1	K02893
Dapma7bEVm020553t1	K02872
Dapma7bEVm021373t1	
Dapma7bEVm020669t1	
Dapma7bEVm020472t1	K02873
Dapma7bEVm025240t1	
Dapma7bEVm020605t1	K02915
Dapma7bEVm020765t1	K02894
Dapma7bEVm027364t1	
Dapma7bEVm026837t1	
Dapma7bEVm019993t1	K02877
Dapma7bEVm024513t1	
Dapma7bEVm018271t1	K02880
Dapma7bEVm018231t1	
Dapma7bEVm020362t1	K02915
Dapma7bEVm010670t1	
Dapma7bEVm018985t1	
Dapma7bEVm029311t1	
Dapma7bEVm020245t1	K02937
Dapma7bEVm020101t1	K02868
Dapma7bEVm022272t1	
Dapma7bEVm020066t1	K02995
Dapma7bEVm028849t1	
Dapma7bEVm020512t1	K02934
Dapma7bEVm024512t1	
Dapma7bEVm018218t1	K02938
Dapma7bEVm020360t1	
Dapma7bEVm026401t1	K10420
Dapma7bEVm020031t1	K02989
Dapma7bEVm018977t1	
Dapma7bEVm020423t1	
Dapma7bEVm020192t1	K02910
Dapma7bEVm019941t1	K02865
Dapma7bEVm019040t1	
Dapma7bEVm019894t1	K02987
Dapma7bEVm025486t1	
Dapma7bEVm019915t1	K02984
Dapma7bEVm020050t1	K14753
Dapma7bEVm018201t1	K03233
Dapma7bEVm019804t1	K06630
Dapma7bEVm018194t1	K05863
Dapma7bEVm016959t1	
Dapma7bEVm029374t1	
Dapma7bEVm020219t1	K13886
Dapma7bEVm021477t1	
Dapma7bEVm024777t1	
Dapma7bEVm028631t1	
Dapma7bEVm021869t1	
Dapma7bEVm013750t1	K01312
Dapma7bEVm024676t1	
Dapma7bEVm016953t1	
Dapma7bEVm005732t1	
Dapma7bEVm013821t1	
Dapma7bEVm010782t1	K02734
Dapma7bEVm024871t1	
Dapma7bEVm019529t1	
Dapma7bEVm024645t1	
Dapma7bEVm023132t1	K01988
Dapma7bEVm021676t1	
Dapma7bEVm022573t1	
Dapma7bEVm018930t1	
Dapma7bEVm019613t1	
Dapma7bEVm016255t1	
Dapma7bEVm019667t1	K13886
Dapma7bEVm017356t1	K25493
Dapma7bEVm019505t1	
Dapma7bEVm029316t1	
Dapma7bEVm019521t1	K00134
Dapma7bEVm017360t1	
Dapma7bEVm015363t1	
Dapma7bEVm019625t1	K08054
Dapma7bEVm019461t1	
Dapma7bEVm019423t1	K03257
Dapma7bEVm019943t1	
Dapma7bEVm019328t1	
Dapma7bEVm023580t1	
Dapma7bEVm017337t1	
Dapma7bEVm016375t1	
Dapma7bEVm013236t1	
Dapma7bEVm019735t1	
Dapma7bEVm012758t1	K14464
Dapma7bEVm021656t1	
Dapma7bEVm019244t1	K23728
Dapma7bEVm012251t1	
Dapma7bEVm028570t1	
Dapma7bEVm019216t1	
Dapma7bEVm019501t1	
Dapma7bEVm013016t1	
Dapma7bEVm019492t1	
Dapma7bEVm013005t1	
Dapma7bEVm014393t1	K01230
Dapma7bEVm019222t1	K09332
Dapma7bEVm016948t1	
Dapma7bEVm019337t1	
Dapma7bEVm019559t1	K14464
Dapma7bEVm012113t1	
Dapma7bEVm019373t1	
Dapma7bEVm023717t1	K07295
Dapma7bEVm016471t1	
Dapma7bEVm019700t1	K13984
Dapma7bEVm025351t1	
Dapma7bEVm019409t1	
Dapma7bEVm018548t1	K19348
Dapma7bEVm004645t1	K02929
Dapma7bEVm028342t1	
Dapma7bEVm028724t1	
Dapma7bEVm007096t1	
Dapma7bEVm016944t1	
Dapma7bEVm007460t1	
Dapma7bEVm004214t1	
Dapma7bEVm004693t1	
Dapma7bEVm020112t1	
Dapma7bEVm009921t1	K02930
Dapma7bEVm001605t1	
Dapma7bEVm020521t1	
Dapma7bEVm015426t1	K08045
Dapma7bEVm016173t1	
Dapma7bEVm021893t1	
Dapma7bEVm016157t1	
Dapma7bEVm010822t1	K14683
Dapma7bEVm020544t1	K02989
Dapma7bEVm016501t1	
Dapma7bEVm016240t1	
Dapma7bEVm018236t1	K02880
Dapma7bEVm018413t1	
Dapma7bEVm013841t1	
Dapma7bEVm008855t1	
Dapma7bEVm018366t1	K11252
Dapma7bEVm011225t1	
Dapma7bEVm006830t1	
